date,value,year,month
1970-01-01,6.16246,1970,1
1970-02-01,6.42458,1970,2
1970-03-01,6.09418,1970,3
1970-04-01,6.06061,1970,4
1970-05-01,6.04396,1970,5
1970-06-01,6.01093,1970,6
1970-07-01,5.70652,1970,7
1970-08-01,5.69106,1970,8
1970-09-01,5.66038,1970,9
1970-10-01,5.63003,1970,10
1970-11-01,5.6,1970,11
1970-12-01,5.57029,1970,12
1971-01-01,5.27704,1971,1
1971-02-01,4.72441,1971,2
1971-03-01,4.43864,1971,3
1971-04-01,4.15584,1971,4
1971-05-01,4.40415,1971,5
1971-06-01,4.38144,1971,6
1971-07-01,4.37018,1971,7
1971-08-01,4.35897,1971,8
1971-09-01,4.08163,1971,9
1971-10-01,3.80711,1971,10
1971-11-01,3.53535,1971,11
1971-12-01,3.26633,1971,12
1972-01-01,3.25815,1972,1
1972-02-01,3.7594,1972,2
1972-03-01,3.5,1972,3
1972-04-01,3.49127,1972,4
1972-05-01,3.22581,1972,5
1972-06-01,2.96296,1972,6
1972-07-01,2.95567,1972,7
1972-08-01,2.9484,1972,8
1972-09-01,3.18627,1972,9
1972-10-01,3.17848,1972,10
1972-11-01,3.41463,1972,11
1972-12-01,3.40633,1972,12
1973-01-01,3.64078,1973,1
1973-02-01,3.86473,1973,2
1973-03-01,4.83092,1973,3
1973-04-01,5.3012,1973,4
1973-05-01,5.52885,1973,5
1973-06-01,5.9952,1973,6
1973-07-01,5.74163,1973,7
1973-08-01,7.39857,1973,8
1973-09-01,7.36342,1973,9
1973-10-01,8.05687,1973,10
1973-11-01,8.25472,1973,11
1973-12-01,8.94118,1973,12
1974-01-01,9.60187,1974,1
1974-02-01,10.0,1974,2
1974-03-01,10.13825,1974,3
1974-04-01,10.06865,1974,4
1974-05-01,10.70615,1974,5
1974-06-01,10.85973,1974,6
1974-07-01,11.53846,1974,7
1974-08-01,10.88889,1974,8
1974-09-01,11.9469,1974,9
1974-10-01,11.84211,1974,10
1974-11-01,12.20044,1974,11
1974-12-01,12.09503,1974,12
1975-01-01,11.75214,1975,1
1975-02-01,11.20507,1975,2
1975-03-01,10.46025,1975,3
1975-04-01,10.18711,1975,4
1975-05-01,9.25926,1975,5
1975-06-01,9.18367,1975,6
1975-07-01,9.53347,1975,7
1975-08-01,8.61723,1975,8
1975-09-01,7.90514,1975,9
1975-10-01,7.64706,1975,10
1975-11-01,7.37864,1975,11
1975-12-01,7.12909,1975,12
1976-01-01,6.69216,1976,1
1976-02-01,6.27376,1976,2
1976-03-01,6.06061,1976,3
1976-04-01,5.84906,1976,4
1976-05-01,6.21469,1976,5
1976-06-01,5.98131,1976,6
1976-07-01,5.55556,1976,7
1976-08-01,5.71956,1976,8
1976-09-01,5.49451,1976,9
1976-10-01,5.46448,1976,10
1976-11-01,5.06329,1976,11
1976-12-01,5.03597,1976,12
1977-01-01,5.19713,1977,1
1977-02-01,6.08229,1977,2
1977-03-01,6.42857,1977,3
1977-04-01,6.95187,1977,4
1977-05-01,6.73759,1977,5
1977-06-01,6.70194,1977,6
1977-07-01,6.66667,1977,7
1977-08-01,6.63176,1977,8
1977-09-01,6.42361,1977,9
1977-10-01,6.39033,1977,10
1977-11-01,6.71256,1977,11
1977-12-01,6.67808,1977,12
1978-01-01,6.81431,1978,1
1978-02-01,6.23946,1978,2
1978-03-01,6.37584,1978,3
1978-04-01,6.5,1978,4
1978-05-01,7.14286,1978,5
1978-06-01,7.43802,1978,6
1978-07-01,7.73026,1978,7
1978-08-01,7.85597,1978,8
1978-09-01,8.48287,1978,9
1978-10-01,8.92857,1978,10
1978-11-01,8.87097,1978,11
1978-12-01,8.98876,1978,12
1979-01-01,9.2504,1979,1
1979-02-01,9.84127,1979,2
1979-03-01,10.25237,1979,3
1979-04-01,10.48513,1979,4
1979-05-01,10.69767,1979,5
1979-06-01,11.07692,1979,6
1979-07-01,11.45038,1979,7
1979-08-01,11.83612,1979,8
1979-09-01,11.8797,1979,9
1979-10-01,12.07154,1979,10
1979-11-01,12.59259,1979,11
1979-12-01,13.25479,1979,12
1980-01-01,13.86861,1980,1
1980-02-01,14.16185,1980,2
1980-03-01,14.59227,1980,3
1980-04-01,14.58924,1980,4
1980-05-01,14.42577,1980,5
1980-06-01,14.26593,1980,6
1980-07-01,13.15068,1980,7
1980-08-01,12.89009,1980,8
1980-09-01,12.76882,1980,9
1980-10-01,12.63298,1980,10
1980-11-01,12.63158,1980,11
1980-12-01,12.35371,1980,12
1981-01-01,11.79487,1981,1
1981-02-01,11.39241,1981,2
1981-03-01,10.61174,1981,3
1981-04-01,10.13597,1981,4
1981-05-01,9.79192,1981,5
1981-06-01,9.69697,1981,6
1981-07-01,10.77482,1981,7
1981-08-01,10.81731,1981,8
1981-09-01,10.96544,1981,9
1981-10-01,10.27155,1981,10
1981-11-01,9.57944,1981,11
1981-12-01,8.91204,1981,12
1982-01-01,8.25688,1982,1
1982-02-01,7.61364,1982,2
1982-03-01,6.88488,1982,3
